176,ATR-0377,-,M,-,12.1,07/11/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
179,ATR-0378,-,M,-,26.0,7/13/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
182,ATR-0379,-,-,-,39.5,7/13/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
192,ATR-0380,-,-,-,5.4,7/22/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
230,ATR-0381,-,-,-,106.5,8/23/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
231,ATR-0382,-,-,-,6.9,8/23/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
233,ATR-0383,-,-,-,70.0,8/23/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
254,ATR-0384,-,M,-,648.5,09/07/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
257,ATR-0385,-,M,-,359.0,9/20/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
259,ATR-0386,-,M,-,70.0,9/20/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
