138,ATR-0372,,M,,290.5,6/13/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira Filhote,-20.4219514625676,-53.1200034916396,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4219514625676,-53.1200034916396
144,ATR-0373,,,,713.5,6/15/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4297853362389,-54.8989075980641,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4297853362389,-54.8989075980641
155,ATR-0374,,,,1007.5,6/25/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.1775240492091,-54.4730732932831,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-21.1775240492091,-54.4730732932831
168,ATR-0375,,,,10.4,7/9/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.747684975571,-53.2776027716776,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-21.747684975571,-53.2776027716776
175,ATR-0376,,,,51.5,7/11/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.466981624267,-53.4090683678381,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.466981624267,-53.4090683678381
176,ATR-0377,,M,,12.1,7/11/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4640141758351,-53.393787059503,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4640141758351,-53.393787059503
179,ATR-0378,,M,,26.0,7/13/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4284950674654,-54.9057564261098,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4284950674654,-54.9057564261098
182,ATR-0379,,,,39.5,7/13/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.5048416509923,-55.8490024723875,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.5048416509923,-55.8490024723875
192,ATR-0380,,,,5.4,7/22/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-22.2140158440946,-52.8436128835901,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-22.2140158440946,-52.8436128835901
230,ATR-0381,,,,106.5,8/23/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.8984310603004,-52.4886745380629,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-21.8984310603004,-52.4886745380629
