objectid_1,objectid,leg_radam,leg_atual,leg_carga,clas_domi,leg_uveg,nm_uveg,leg_uantr,nm_uantr,leg_contat,nm_contat,veg_pretet,nm_pretet,legenda,shape_leng,shape_area
16258,26,Ap1,Ap.SN,Ap.SN,Ap,,,Ap,Pecuria (pastagens),SN,Contato Savana/Floresta Estacional,,,Ap.SN -  Pecuria (pastagens) em Contato Savana/Floresta Estacional,0.54554,0.00455
16259,11,Iu.S,Iu.S,Iu.S,Iu,,,Iu,Influncia urbana,,,S,Savana,Iu.S -  Influncia urbana em  Savana,0.06464,0.00023
16260,26,Ap1,Ap.SN,Ap.SN,Ap,,,Ap,Pecuria (pastagens),SN,Contato Savana/Floresta Estacional,,,Ap.SN -  Pecuria (pastagens) em Contato Savana/Floresta Estacional,6.10735,0.05995
16261,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,0.16352,0.00053
16262,26,Ap1,Ap.SN,Ap.SN,Ap,,,Ap,Pecuria (pastagens),SN,Contato Savana/Floresta Estacional,,,Ap.SN -  Pecuria (pastagens) em Contato Savana/Floresta Estacional,1.27401,0.02047
16263,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,0.16784,0.00084
16264,0,Sd2,STc/Sd,STc/Sd,Sd,Sd,Savana Florestada,,,ST,Contato Savana/Savana-Estpica,,,STc/Sd - Savana Florestada  em Contato Savana/Savana-Estpica,0.14401,0.00077
16265,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,0.68556,0.00546
16266,26,Ap1,Ap.SN,Ap.SN,Ap,,,Ap,Pecuria (pastagens),SN,Contato Savana/Floresta Estacional,,,Ap.SN -  Pecuria (pastagens) em Contato Savana/Floresta Estacional,0.79116,0.00655
16267,0,Fae,Fae,Fae,Fae,Fae,Floresta Estacional Semidecidual Aluvial com dossel emergente,,,,,,,Fae - Floresta Estacional Semidecidual Aluvial com dossel emergente,0.18315,0.00145
16268,0,Sd2,STc/Sd,STc/Sd,Sd,Sd,Savana Florestada,,,ST,Contato Savana/Savana-Estpica,,,STc/Sd - Savana Florestada  em Contato Savana/Savana-Estpica,0.1129,0.00044
16269,1553,Cs1,SNc/Cs,SNc/Cs,Cs,Cs,Floresta Estacional Decidual Submontana,,,SN,Contato Savana/Floresta Estacional,,,SNc/Cs - Floresta Estacional Decidual Submontana  em Contato Savana/Floresta Estacional,0.2864,0.00222
16270,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,1.90685,0.03581
16271,753,Ap.C,Ap.C,Ap.C,Ap,,,Ap,Pecuria (pastagens),,,C,Floresta Estacional Decidual,Ap.C -  Pecuria (pastagens) em  Floresta Estacional Decidual,0.39709,0.00315
16272,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.31862,0.00289
16273,36,Tps,Tps,Tps,Tps,Tps,Savana-Estpica Parque sem palmeiras e sem floresta-de-galeria,,,,,,,Tps - Savana-Estpica Parque sem palmeiras e sem floresta-de-galeria,0.56911,0.00704
16274,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.11648,0.00057
16275,11,Iu.S,Iu.S,Iu.S,Iu,,,Iu,Influncia urbana,,,S,Savana,Iu.S -  Influncia urbana em  Savana,0.1712,0.00084
16276,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,0.5525,0.00583
16277,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,2.03524,0.04576
16278,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.68416,0.00531
16279,2198,Tas2,STc/Tas,STc/Tas,Tas,Tas,Savana-Estpica Arborizada sem palmeiras e sem floresta-de-galeria,,,ST,Contato Savana/Savana-Estpica,,,STc/Tas - Savana-Estpica Arborizada sem palmeiras e sem floresta-de-galeria  em Contato Savana/Savana-Estpica,18.15174,0.34274
16280,11,Iu.S,Iu.S,Iu.S,Iu,,,Iu,Influncia urbana,,,S,Savana,Iu.S -  Influncia urbana em  Savana,0.70822,0.00689
16281,26,Ap1,Ap.SN,Ap.SN,Ap,,,Ap,Pecuria (pastagens),SN,Contato Savana/Floresta Estacional,,,Ap.SN -  Pecuria (pastagens) em Contato Savana/Floresta Estacional,10.35016,0.24802
16282,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,14.74486,0.62255
16283,26,Ap1,Ap.SN,Ap.SN,Ap,,,Ap,Pecuria (pastagens),SN,Contato Savana/Floresta Estacional,,,Ap.SN -  Pecuria (pastagens) em Contato Savana/Floresta Estacional,0.24272,0.00243
16284,0,Fae,Fae,Fae,Fae,Fae,Floresta Estacional Semidecidual Aluvial com dossel emergente,,,,,,,Fae - Floresta Estacional Semidecidual Aluvial com dossel emergente,0.03355,5E-05
16285,11,Iu.S,Iu.S,Iu.S,Iu,,,Iu,Influncia urbana,,,S,Savana,Iu.S -  Influncia urbana em  Savana,0.05795,0.00023
