objectid_1,objectid,leg_radam,leg_atual,leg_carga,clas_domi,leg_uveg,nm_uveg,leg_uantr,nm_uantr,leg_contat,nm_contat,veg_pretet,nm_pretet,legenda,shape_leng,shape_area
16084,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,0.58685,0.00563
16085,8421,Fa,Paa,Paa,Paa,Paa,Formao Pioneira com influncia fluvial e/ou lacustre arbustiva,,,,,,,Paa - Formao Pioneira com influncia fluvial e/ou lacustre arbustiva,0.04322,8E-05
16086,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.13351,0.00068
16087,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.3623,0.00249
16088,0,Td2,STc/Td,STc/Td,Td,Td,Savana-Estpica Florestada,,,ST,Contato Savana/Savana-Estpica,,,STc/Td - Savana-Estpica Florestada  em Contato Savana/Savana-Estpica,0.38833,0.00395
16089,3,Tgs,Tgs,Tgs,Tgs,Tgs,Savana-Estpica Gramneo-Lenhosa sem palmeiras e sem floresta-de-galeria,,,,,,,Tgs - Savana-Estpica Gramneo-Lenhosa sem palmeiras e sem floresta-de-galeria,0.19918,0.00109
16090,1199,Ap3,Ap.TN,Ap.TN,Ap,,,Ap,Pecuria (pastagens),TN,Contato Savana-Estpica/Floresta Estacional,,,Ap.TN -  Pecuria (pastagens) em Contato Savana-Estpica/Floresta Estacional,2.37472,0.0246
16091,3,Tgs,Tgs,Tgs,Tgs,Tgs,Savana-Estpica Gramneo-Lenhosa sem palmeiras e sem floresta-de-galeria,,,,,,,Tgs - Savana-Estpica Gramneo-Lenhosa sem palmeiras e sem floresta-de-galeria,0.33298,0.00166
16092,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.4991,0.00424
16093,2619,Fa,Fa,Fa,Fa,Fa,Floresta Estacional Semidecidual Aluvial,,,,,,,Fa - Floresta Estacional Semidecidual Aluvial,0.31127,0.00279
16094,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,0.7468,0.00898
16095,0,Cb,Cb,Cb,Cb,Cb,Floresta Estacional Decidual das Terras Baixas,,,,,,,Cb - Floresta Estacional Decidual das Terras Baixas,0.30127,0.00198
